,Team_1,Team_2,Winner,Margin,Ground,Match Date
0,Australia,England,Australia,5 wickets,Melbourne,"Jan 5, 1971"
1,England,Australia,England,6 wickets,Manchester,"Aug 24, 1972"
2,England,Australia,Australia,5 wickets,Lord's,"Aug 26, 1972"
3,England,Australia,England,2 wickets,Birmingham,"Aug 28, 1972"
4,New Zealand,Pakistan,New Zealand,22 runs,Christchurch,"Feb 11, 1973"
5,England,New Zealand,England,7 wickets,Swansea,"Jul 18, 1973"
6,England,New Zealand,no result,-,Manchester,"Jul 20, 1973"
7,England,West Indies,England,1 wicket,Leeds,"Sep 5, 1973"
8,England,West Indies,West Indies,8 wickets,The Oval,"Sep 7, 1973"
9,New Zealand,Australia,Australia,7 wickets,Dunedin,"Mar 30, 1974"
10,New Zealand,Australia,Australia,31 runs,Christchurch,"Mar 31, 1974"
11,England,India,England,4 wickets,Leeds,"Jul 13, 1974"
12,England,India,England,6 wickets,The Oval,"Jul 15-16, 1974"
13,England,Pakistan,Pakistan,7 wickets,Nottingham,"Aug 31, 1974"
14,England,Pakistan,Pakistan,8 wickets,Birmingham,"Sep 3, 1974"
15,Australia,England,England,3 wickets,Melbourne,"Jan 1, 1975"
16,New Zealand,England,no result,-,Dunedin,"Mar 8, 1975"
17,New Zealand,England,no result,-,Wellington,"Mar 9, 1975"
18,England,India,England,202 runs,Lord's,"Jun 7, 1975"
19,East Africa,New Zealand,New Zealand,181 runs,Birmingham,"Jun 7, 1975"
20,Australia,Pakistan,Australia,73 runs,Leeds,"Jun 7, 1975"
21,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,"Jun 7, 1975"
22,England,New Zealand,England,80 runs,Nottingham,"Jun 11, 1975"
23,East Africa,India,India,10 wickets,Leeds,"Jun 11, 1975"
24,Australia,Sri Lanka,Australia,52 runs,The Oval,"Jun 11, 1975"
25,Pakistan,West Indies,West Indies,1 wicket,Birmingham,"Jun 11, 1975"
26,England,East Africa,England,196 runs,Birmingham,"Jun 14, 1975"
27,India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975"
28,Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 14, 1975"
29,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,"Jun 14, 1975"
30,England,Australia,Australia,4 wickets,Leeds,"Jun 18, 1975"
31,New Zealand,West Indies,West Indies,5 wickets,The Oval,"Jun 18, 1975"
32,Australia,West Indies,West Indies,17 runs,Lord's,"Jun 21, 1975"
33,Australia,West Indies,Australia,5 wickets,Adelaide,"Dec 20, 1975"
34,New Zealand,India,New Zealand,9 wickets,Christchurch,"Feb 21, 1976"
35,New Zealand,India,New Zealand,80 runs,Auckland,"Feb 22, 1976"
36,England,West Indies,West Indies,6 wickets,Scarborough,"Aug 26, 1976"
37,England,West Indies,West Indies,36 runs,Lord's,"Aug 28-29, 1976"
38,England,West Indies,West Indies,50 runs,Birmingham,"Aug 30-31, 1976"
39,Pakistan,New Zealand,New Zealand,1 run,Sialkot,"Oct 16, 1976"
40,West Indies,Pakistan,West Indies,4 wickets,Albion,"Mar 16, 1977"
41,England,Australia,England,2 wickets,Manchester,"Jun 2, 1977"
42,England,Australia,England,101 runs,Birmingham,"Jun 4, 1977"
43,England,Australia,Australia,2 wickets,The Oval,"Jun 6, 1977"
44,Pakistan,England,England,3 wickets,Sahiwal,"Dec 23, 1977"
45,Pakistan,England,England,6 wickets,Sialkot,"Dec 30, 1977"
46,Pakistan,England,Pakistan,36 runs,Lahore,"Jan 13, 1978"
47,West Indies,Australia,West Indies,44 runs,St John's,"Feb 22, 1978"
48,West Indies,Australia,Australia,2 wickets,Castries,"Apr 12, 1978"
49,England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978"
50,England,Pakistan,England,94 runs,The Oval,"May 26, 1978"
51,England,New Zealand,England,19 runs,Scarborough,"Jul 15, 1978"
52,England,New Zealand,England,126 runs,Manchester,"Jul 17, 1978"
53,Pakistan,India,India,4 runs,Quetta,"Oct 1, 1978"
54,Pakistan,India,Pakistan,8 wickets,Sialkot,"Oct 13, 1978"
55,Pakistan,India,Pakistan,-,Sahiwal,"Nov 3, 1978"
56,Australia,England,no result,-,Sydney,"Jan 13, 1979"
57,Australia,England,England,7 wickets,Melbourne,"Jan 24, 1979"
58,Australia,England,Australia,4 wickets,Melbourne,"Feb 4, 1979"
59,Australia,England,Australia,6 wickets,Melbourne,"Feb 7, 1979"
60,India,West Indies,West Indies,9 wickets,Birmingham,"Jun 9, 1979"
61,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,"Jun 9, 1979"
62,England,Australia,England,6 wickets,Lord's,"Jun 9, 1979"
63,Canada,Pakistan,Pakistan,8 wickets,Leeds,"Jun 9, 1979"
64,India,New Zealand,New Zealand,8 wickets,Leeds,"Jun 13, 1979"
65,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979"
66,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979"
67,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979"
68,New Zealand,West Indies,West Indies,32 runs,Nottingham,"Jun 16, 1979"
69,Australia,Canada,Australia,7 wickets,Birmingham,"Jun 16, 1979"
70,England,Pakistan,England,14 runs,Leeds,"Jun 16, 1979"
71,England,New Zealand,England,9 runs,Manchester,"Jun 20, 1979"
72,Pakistan,West Indies,West Indies,43 runs,The Oval,"Jun 20, 1979"
73,England,West Indies,West Indies,92 runs,Lord's,"Jun 23, 1979"
74,Australia,West Indies,Australia,5 wickets,Sydney,"Nov 27, 1979"
75,England,West Indies,England,2 runs,Sydney,"Nov 28, 1979"
76,Australia,England,England,3 wickets,Melbourne,"Dec 8, 1979"
77,Australia,West Indies,West Indies,80 runs,Melbourne,"Dec 9, 1979"
78,Australia,England,England,72 runs,Sydney,"Dec 11, 1979"
79,Australia,West Indies,Australia,7 runs,Sydney,"Dec 21, 1979"
80,England,West Indies,West Indies,9 wickets,Brisbane,"Dec 23, 1979"
81,Australia,England,England,4 wickets,Sydney,"Dec 26, 1979"
82,Australia,England,England,2 wickets,Sydney,"Jan 14, 1980"
83,England,West Indies,West Indies,107 runs,Adelaide,"Jan 16, 1980"
84,Australia,West Indies,Australia,9 runs,Sydney,"Jan 18, 1980"
85,England,West Indies,West Indies,2 runs,Melbourne,"Jan 20, 1980"
86,England,West Indies,West Indies,8 wickets,Sydney,"Jan 22, 1980"
87,New Zealand,West Indies,New Zealand,1 wicket,Christchurch,"Feb 6, 1980"
88,England,West Indies,West Indies,24 runs,Leeds,"May 28-29, 1980"
89,England,West Indies,England,3 wickets,Lord's,"May 30, 1980"
90,England,Australia,England,23 runs,The Oval,"Aug 20, 1980"
91,England,Australia,England,47 runs,Birmingham,"Aug 22, 1980"
92,Pakistan,West Indies,West Indies,4 wickets,Karachi,"Nov 21, 1980"
93,Australia,New Zealand,New Zealand,3 wickets,Adelaide,"Nov 23, 1980"
94,Australia,New Zealand,Australia,94 runs,Sydney,"Nov 25, 1980"
95,Pakistan,West Indies,West Indies,7 wickets,Sialkot,"Dec 5, 1980"
96,Australia,India,India,66 runs,Melbourne,"Dec 6, 1980"
97,Australia,New Zealand,Australia,4 wickets,Melbourne,"Dec 7, 1980"
98,India,New Zealand,India,5 runs,Perth,"Dec 9, 1980"
99,Australia,India,Australia,9 wickets,Sydney,"Dec 18, 1980"
100,Pakistan,West Indies,West Indies,7 runs,Lahore,"Dec 19, 1980"
101,India,New Zealand,New Zealand,3 wickets,Brisbane,"Dec 21, 1980"
102,India,New Zealand,India,6 runs,Adelaide,"Dec 23, 1980"
103,Australia,India,Australia,9 wickets,Sydney,"Jan 8, 1981"
104,India,New Zealand,New Zealand,10 wickets,Melbourne,"Jan 10, 1981"
105,Australia,India,Australia,7 wickets,Melbourne,"Jan 11, 1981"
106,Australia,New Zealand,New Zealand,1 run,Sydney,"Jan 13, 1981"
107,Australia,India,Australia,27 runs,Sydney,"Jan 15, 1981"
108,India,New Zealand,New Zealand,22 runs,Brisbane,"Jan 18, 1981"
109,Australia,New Zealand,no result,-,Sydney,"Jan 21, 1981"
110,Australia,New Zealand,New Zealand,78 runs,Sydney,"Jan 29, 1981"
111,Australia,New Zealand,Australia,7 wickets,Melbourne,"Jan 31, 1981"
112,Australia,New Zealand,Australia,6 runs,Melbourne,"Feb 1, 1981"
113,Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 3, 1981"
114,West Indies,England,West Indies,2 runs,Kingstown,"Feb 4, 1981"
115,New Zealand,India,New Zealand,78 runs,Auckland,"Feb 14, 1981"
116,New Zealand,India,New Zealand,57 runs,Hamilton,"Feb 15, 1981"
117,West Indies,England,West Indies,6 wickets,Albion,"Feb 26, 1981"
118,England,Australia,England,6 wickets,Lord's,"Jun 4, 1981"
119,England,Australia,Australia,2 runs,Birmingham,"Jun 6, 1981"
120,England,Australia,Australia,71 runs,Leeds,"Jun 8, 1981"
121,Pakistan,West Indies,West Indies,18 runs,Melbourne,"Nov 21, 1981"
122,Australia,Pakistan,Pakistan,4 wickets,Melbourne,"Nov 22, 1981"
123,Australia,West Indies,Australia,7 wickets,Sydney,"Nov 24, 1981"
124,India,England,England,5 wickets,Ahmedabad,"Nov 25, 1981"
125,Pakistan,West Indies,Pakistan,8 runs,Adelaide,"Dec 5, 1981"
126,Australia,Pakistan,Australia,38 runs,Adelaide,"Dec 6, 1981"
127,Australia,Pakistan,Pakistan,6 wickets,Sydney,"Dec 17, 1981"
128,Pakistan,West Indies,West Indies,7 wickets,Perth,"Dec 19, 1981"
129,Australia,West Indies,West Indies,8 wickets,Perth,"Dec 20, 1981"
130,India,England,India,6 wickets,Jalandhar,"Dec 20, 1981"
131,Australia,Pakistan,Pakistan,25 runs,Melbourne,"Jan 9, 1982"
132,Australia,West Indies,West Indies,5 wickets,Melbourne,"Jan 10, 1982"
133,Pakistan,West Indies,West Indies,7 wickets,Sydney,"Jan 12, 1982"
134,Australia,Pakistan,Australia,76 runs,Sydney,"Jan 14, 1982"
135,Pakistan,West Indies,West Indies,1 wicket,Brisbane,"Jan 16, 1982"
136,Australia,West Indies,West Indies,5 wickets,Brisbane,"Jan 17, 1982"
137,Australia,West Indies,Australia,5 runs,Sydney,"Jan 19, 1982"
138,Australia,West Indies,West Indies,86 runs,Melbourne,"Jan 23, 1982"
139,Australia,West Indies,West Indies,128 runs,Melbourne,"Jan 24, 1982"
140,Australia,West Indies,Australia,46 runs,Sydney,"Jan 26, 1982"
141,Australia,West Indies,West Indies,18 runs,Sydney,"Jan 27, 1982"
142,India,England,India,5 wickets,Cuttack,"Jan 27, 1982"
143,New Zealand,Australia,New Zealand,46 runs,Auckland,"Feb 13, 1982"
144,Sri Lanka,England,England,5 runs,Colombo (SSC),"Feb 13, 1982"
145,Sri Lanka,England,Sri Lanka,3 runs,Colombo (SSC),"Feb 14, 1982"
146,New Zealand,Australia,Australia,6 wickets,Dunedin,"Feb 17, 1982"
147,New Zealand,Australia,Australia,8 wickets,Wellington,"Feb 20, 1982"
148,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,"Mar 12, 1982"
149,Pakistan,Sri Lanka,Sri Lanka,30 runs,Lahore,"Mar 29, 1982"
150,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,"Mar 31, 1982"
151,England,India,England,9 wickets,Leeds,"Jun 2, 1982"
152,England,India,England,114 runs,The Oval,"Jun 4, 1982"
153,England,Pakistan,England,7 wickets,Nottingham,"Jul 17, 1982"
154,England,Pakistan,England,73 runs,Manchester,"Jul 19, 1982"
155,India,Sri Lanka,India,78 runs,Amritsar,"Sep 12, 1982"
156,India,Sri Lanka,India,6 wickets,Delhi,"Sep 15, 1982"
157,Pakistan,Australia,Pakistan,59 runs,Hyderabad (Sind),"Sep 20, 1982"
158,India,Sri Lanka,India,6 wickets,Bengaluru,"Sep 26, 1982"
159,Pakistan,Australia,Pakistan,28 runs,Lahore,"Oct 8, 1982"
160,Pakistan,Australia,no result,-,Karachi,"Oct 22, 1982"
161,Pakistan,India,Pakistan,14 runs,Gujranwala,"Dec 3, 1982"
162,Pakistan,India,Pakistan,37 runs,Multan,"Dec 17, 1982"
163,Pakistan,India,India,18 runs,Lahore,"Dec 31, 1982"
164,Australia,New Zealand,Australia,8 wickets,Melbourne,"Jan 9, 1983"
165,Australia,England,Australia,31 runs,Sydney,"Jan 11, 1983"
166,England,New Zealand,New Zealand,2 runs,Melbourne,"Jan 13, 1983"
167,England,New Zealand,England,54 runs,Brisbane,"Jan 15, 1983"
168,Australia,England,Australia,7 wickets,Brisbane,"Jan 16, 1983"
169,Australia,New Zealand,New Zealand,47 runs,Sydney,"Jan 18, 1983"
170,England,New Zealand,England,8 wickets,Sydney,"Jan 20, 1983"
171,Pakistan,India,Pakistan,8 wickets,Karachi,"Jan 21, 1983"
172,Australia,New Zealand,New Zealand,58 runs,Melbourne,"Jan 22, 1983"
173,Australia,England,Australia,5 wickets,Melbourne,"Jan 23, 1983"
174,Australia,England,England,98 runs,Sydney,"Jan 26, 1983"
175,England,New Zealand,New Zealand,4 wickets,Adelaide,"Jan 29, 1983"
176,Australia,England,England,14 runs,Adelaide,"Jan 30, 1983"
177,Australia,New Zealand,New Zealand,47 runs,Adelaide,"Jan 31, 1983"
178,England,New Zealand,New Zealand,7 wickets,Perth,"Feb 5, 1983"
179,Australia,New Zealand,Australia,27 runs,Perth,"Feb 6, 1983"
180,Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 9, 1983"
181,Australia,New Zealand,Australia,149 runs,Melbourne,"Feb 13, 1983"
182,New Zealand,England,New Zealand,6 wickets,Auckland,"Feb 19, 1983"
183,New Zealand,England,New Zealand,103 runs,Wellington,"Feb 23, 1983"
184,New Zealand,England,New Zealand,84 runs,Christchurch,"Feb 26, 1983"
185,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin,"Mar 2, 1983"
186,West Indies,India,West Indies,52 runs,Port of Spain,"Mar 9, 1983"
187,Australia,New Zealand,New Zealand,14 runs,Sydney,"Mar 17, 1983"
188,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier,"Mar 19, 1983"
189,New Zealand,Sri Lanka,New Zealand,116 runs,Auckland,"Mar 20, 1983"
190,West Indies,India,India,27 runs,Albion,"Mar 29, 1983"
191,West Indies,India,West Indies,7 wickets,St George's,"Apr 7, 1983"
192,Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS),"Apr 13, 1983"
193,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),"Apr 16, 1983"
194,Sri Lanka,Australia,no result,-,Colombo (SSC),"Apr 29, 1983"
195,Sri Lanka,Australia,no result,-,Colombo (SSC),"Apr 30, 1983"
196,England,New Zealand,England,106 runs,The Oval,"Jun 9, 1983"
197,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,"Jun 9, 1983"
198,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983"
199,India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983"
200,England,Sri Lanka,England,47 runs,Taunton,"Jun 11, 1983"
201,New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983"
202,Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983"
203,India,Zimbabwe,India,5 wickets,Leicester,"Jun 11, 1983"
204,England,Pakistan,England,8 wickets,Lord's,"Jun 13, 1983"
205,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,"Jun 13, 1983"
206,Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983"
207,West Indies,Zimbabwe,West Indies,8 wickets,Worcester,"Jun 13, 1983"
208,England,New Zealand,New Zealand,2 wickets,Birmingham,"Jun 15, 1983"
209,India,West Indies,West Indies,66 runs,The Oval,"Jun 15, 1983"
210,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,"Jun 16, 1983"
211,Australia,Zimbabwe,Australia,32 runs,Southampton,"Jun 16, 1983"
212,England,Pakistan,England,7 wickets,Manchester,"Jun 18, 1983"
213,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,"Jun 18, 1983"
214,Australia,West Indies,West Indies,7 wickets,Lord's,"Jun 18, 1983"
215,India,Zimbabwe,India,31 runs,Tunbridge Wells,"Jun 18, 1983"
216,England,Sri Lanka,England,9 wickets,Leeds,"Jun 20, 1983"
217,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,"Jun 20, 1983"
218,Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983"
219,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,"Jun 20, 1983"
220,England,India,India,6 wickets,Manchester,"Jun 22, 1983"
221,Pakistan,West Indies,West Indies,8 wickets,The Oval,"Jun 22, 1983"
222,India,West Indies,India,43 runs,Lord's,"Jun 25, 1983"
223,India,Pakistan,India,4 wickets,Hyderabad (Deccan),"Sep 10, 1983"
224,India,Pakistan,India,4 wickets,Jaipur,"Oct 2, 1983"
225,India,West Indies,West Indies,28 runs,Srinagar,"Oct 13, 1983"
226,India,West Indies,West Indies,4 wickets,Vadodara,"Nov 9, 1983"
227,India,West Indies,West Indies,8 wickets,Indore,"Dec 1, 1983"
228,India,West Indies,West Indies,104 runs,Jamshedpur,"Dec 7, 1983"
229,India,West Indies,West Indies,6 wickets,Guwahati,"Dec 17, 1983"
230,Australia,West Indies,West Indies,27 runs,Melbourne,"Jan 8, 1984"
231,Australia,Pakistan,Australia,34 runs,Sydney,"Jan 10, 1984"
232,Pakistan,West Indies,Pakistan,97 runs,Melbourne,"Jan 12, 1984"
233,Pakistan,West Indies,West Indies,5 wickets,Brisbane,"Jan 14, 1984"
234,Australia,Pakistan,no result,-,Brisbane,"Jan 15, 1984"
235,Australia,West Indies,West Indies,28 runs,Sydney,"Jan 17, 1984"
236,Pakistan,West Indies,West Indies,5 wickets,Sydney,"Jan 19, 1984"
237,Australia,Pakistan,Australia,43 runs,Melbourne,"Jan 21, 1984"
238,Australia,West Indies,West Indies,26 runs,Melbourne,"Jan 22, 1984"
239,Australia,Pakistan,Australia,87 runs,Sydney,"Jan 25, 1984"
240,Pakistan,West Indies,West Indies,1 wicket,Adelaide,"Jan 28, 1984"
241,Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 29, 1984"
242,Australia,Pakistan,Australia,70 runs,Adelaide,"Jan 30, 1984"
243,Pakistan,West Indies,West Indies,7 wickets,Perth,"Feb 4, 1984"
244,Australia,West Indies,Australia,14 runs,Perth,"Feb 5, 1984"
245,Australia,West Indies,West Indies,9 wickets,Sydney,"Feb 8, 1984"
246,Australia,West Indies,tied,-,Melbourne,"Feb 11, 1984"
247,Australia,West Indies,West Indies,6 wickets,Melbourne,"Feb 12, 1984"
248,New Zealand,England,England,54 runs,Christchurch,"Feb 18, 1984"
249,New Zealand,England,England,6 wickets,Wellington,"Feb 22, 1984"
250,New Zealand,England,New Zealand,7 wickets,Auckland,"Feb 25, 1984"
251,West Indies,Australia,West Indies,8 wickets,Albion,"Feb 29, 1984"
252,Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC),"Mar 3, 1984"
253,Pakistan,England,Pakistan,6 wickets,Lahore,"Mar 9, 1984"
254,West Indies,Australia,Australia,4 wickets,Port of Spain,"Mar 14, 1984"
255,Pakistan,England,England,6 wickets,Karachi,"Mar 26, 1984"
256,Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa,"Mar 31, 1984"
257,Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS),"Apr 1, 1984"
258,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Apr 6, 1984"
259,India,Sri Lanka,India,10 wickets,Sharjah,"Apr 8, 1984"
260,India,Pakistan,India,54 runs,Sharjah,"Apr 13, 1984"
261,West Indies,Australia,West Indies,7 wickets,Castries,"Apr 19, 1984"
262,West Indies,Australia,West Indies,9 wickets,Kingston,"Apr 26, 1984"
263,England,West Indies,West Indies,104 runs,Manchester,"May 31, 1984"
264,England,West Indies,England,3 wickets,Nottingham,"Jun 2, 1984"
265,England,West Indies,West Indies,8 wickets,Lord's,"Jun 4, 1984"
266,India,Australia,Australia,48 runs,New Delhi,"Sep 28, 1984"
267,India,Australia,no result,-,Thiruvananthapuram,"Oct 1, 1984"
268,India,Australia,no result,-,Jamshedpur,"Oct 3, 1984"
269,India,Australia,Australia,7 wickets,Ahmedabad,"Oct 5, 1984"
270,India,Australia,Australia,6 wickets,Indore,"Oct 6, 1984"
271,Pakistan,India,Pakistan,46 runs,Quetta,"Oct 12, 1984"
272,Pakistan,India,no result,-,Sialkot,"Oct 31, 1984"
273,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS),"Nov 3, 1984"
274,Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa,"Nov 4, 1984"
275,Pakistan,New Zealand,Pakistan,46 runs,Peshawar,"Nov 12, 1984"
276,Pakistan,New Zealand,Pakistan,5 runs,Faisalabad,"Nov 23, 1984"
277,Pakistan,New Zealand,New Zealand,34 runs,Sialkot,"Dec 2, 1984"
278,India,England,England,4 wickets,Pune,"Dec 5, 1984"
279,Pakistan,New Zealand,Pakistan,1 wicket,Multan,"Dec 7, 1984"
280,India,England,England,1 run,Cuttack,"Dec 27, 1984"
281,Australia,West Indies,West Indies,7 wickets,Melbourne,"Jan 6, 1985"
282,Australia,Sri Lanka,Australia,6 wickets,Sydney,"Jan 8, 1985"
283,Sri Lanka,West Indies,West Indies,8 wickets,Hobart,"Jan 10, 1985"
284,New Zealand,Pakistan,New Zealand,110 runs,Napier,"Jan 12, 1985"
285,Sri Lanka,West Indies,West Indies,90 runs,Brisbane,"Jan 12, 1985"
286,Australia,West Indies,West Indies,5 wickets,Brisbane,"Jan 13, 1985"
287,New Zealand,Pakistan,New Zealand,4 wickets,Hamilton,"Jan 15, 1985"
288,Australia,West Indies,West Indies,5 wickets,Sydney,"Jan 15, 1985"
289,Sri Lanka,West Indies,West Indies,65 runs,Sydney,"Jan 17, 1985"
290,Australia,Sri Lanka,Sri Lanka,4 wickets,Melbourne,"Jan 19, 1985"
291,Australia,West Indies,West Indies,65 runs,Melbourne,"Jan 20, 1985"
292,India,England,England,3 wickets,Bengaluru,"Jan 20, 1985"
293,Australia,Sri Lanka,Australia,3 wickets,Sydney,"Jan 23, 1985"
294,India,England,India,3 wickets,Nagpur,"Jan 23, 1985"
295,Sri Lanka,West Indies,West Indies,8 wickets,Adelaide,"Jan 26, 1985"
296,Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 27, 1985"
297,India,England,England,7 runs,Chandigarh,"Jan 27, 1985"
298,Australia,Sri Lanka,Australia,232 runs,Adelaide,"Jan 28, 1985"
299,Sri Lanka,West Indies,West Indies,82 runs,Perth,"Feb 2, 1985"
300,Australia,Sri Lanka,Australia,9 wickets,Perth,"Feb 3, 1985"
301,New Zealand,Pakistan,New Zealand,13 runs,Christchurch,"Feb 6, 1985"
302,Australia,West Indies,Australia,26 runs,Sydney,"Feb 6, 1985"
303,Australia,West Indies,West Indies,4 wickets,Melbourne,"Feb 10, 1985"
304,Australia,West Indies,West Indies,7 wickets,Sydney,"Feb 12, 1985"
305,New Zealand,Pakistan,no result,-,Auckland,"Feb 16-17, 1985"
306,Australia,England,Australia,7 wickets,Melbourne,"Feb 17, 1985"
307,New Zealand,West Indies,no result,-,Sydney,"Feb 19-21, 1985"
308,India,Pakistan,India,6 wickets,Melbourne,"Feb 20, 1985"
309,New Zealand,Sri Lanka,New Zealand,51 runs,Melbourne,"Feb 23, 1985"
310,Australia,Pakistan,Pakistan,62 runs,Melbourne,"Feb 24, 1985"
311,England,India,India,86 runs,Sydney,"Feb 26, 1985"
312,Sri Lanka,West Indies,West Indies,8 wickets,Melbourne,"Feb 27, 1985"
313,England,Pakistan,Pakistan,67 runs,Melbourne,"Mar 2, 1985"
314,Australia,India,India,8 wickets,Melbourne,"Mar 3, 1985"
315,India,New Zealand,India,7 wickets,Sydney,"Mar 5, 1985"
316,Pakistan,West Indies,Pakistan,7 wickets,Melbourne,"Mar 6, 1985"
317,New Zealand,West Indies,West Indies,6 wickets,Sydney,"Mar 9, 1985"
318,India,Pakistan,India,8 wickets,Melbourne,"Mar 10, 1985"
319,West Indies,New Zealand,West Indies,23 runs,St John's,"Mar 20, 1985"
320,India,Pakistan,India,38 runs,Sharjah,"Mar 22, 1985"
321,Australia,England,Australia,2 wickets,Sharjah,"Mar 24, 1985"
322,England,Pakistan,Pakistan,43 runs,Sharjah,"Mar 26, 1985"
323,West Indies,New Zealand,West Indies,6 wickets,Port of Spain,"Mar 27, 1985"
324,Australia,India,India,3 wickets,Sharjah,"Mar 29, 1985"
325,West Indies,New Zealand,West Indies,130 runs,Albion,"Apr 14, 1985"
326,West Indies,New Zealand,West Indies,10 wickets,Port of Spain,"Apr 17, 1985"
327,West Indies,New Zealand,West Indies,112 runs,Bridgetown,"Apr 23, 1985"
328,England,Australia,Australia,3 wickets,Manchester,"May 30, 1985"
329,England,Australia,Australia,4 wickets,Birmingham,"Jun 1, 1985"
330,England,Australia,England,8 wickets,Lord's,"Jun 3, 1985"
331,Sri Lanka,India,India,2 wickets,Colombo (SSC),"Aug 25, 1985"
332,Sri Lanka,India,Sri Lanka,14 runs,Colombo (PSS),"Sep 21, 1985"
333,Sri Lanka,India,no result,-,Colombo (PSS),"Sep 22, 1985"
334,Pakistan,Sri Lanka,Pakistan,8 wickets,Peshawar,"Oct 13, 1985"
335,Pakistan,Sri Lanka,Pakistan,15 runs,Gujranwala,"Oct 23, 1985"
336,Pakistan,Sri Lanka,Pakistan,5 wickets,Lahore,"Oct 25, 1985"
337,Pakistan,Sri Lanka,Pakistan,89 runs,Hyderabad (Sind),"Nov 3, 1985"
338,Pakistan,West Indies,West Indies,7 wickets,Sharjah,"Nov 15, 1985"
339,India,Pakistan,Pakistan,48 runs,Sharjah,"Nov 17, 1985"
340,India,West Indies,West Indies,8 wickets,Sharjah,"Nov 22, 1985"
341,Pakistan,West Indies,West Indies,8 wickets,Gujranwala,"Nov 27, 1985"
342,Pakistan,West Indies,Pakistan,6 wickets,Lahore,"Nov 29, 1985"
343,Pakistan,West Indies,West Indies,40 runs,Peshawar,"Dec 2, 1985"
344,Pakistan,West Indies,Pakistan,5 wickets,Rawalpindi,"Dec 4, 1985"
345,Pakistan,West Indies,West Indies,8 wickets,Karachi,"Dec 6, 1985"
346,Australia,New Zealand,no result,-,Melbourne,"Jan 9, 1986"
347,India,New Zealand,India,5 wickets,Brisbane,"Jan 11, 1986"
348,Australia,India,Australia,4 wickets,Brisbane,"Jan 12, 1986"
349,Australia,New Zealand,Australia,4 wickets,Sydney,"Jan 14, 1986"
350,Australia,India,India,8 wickets,Melbourne,"Jan 16, 1986"
351,India,New Zealand,New Zealand,3 wickets,Perth,"Jan 18, 1986"
352,Australia,New Zealand,Australia,4 wickets,Perth,"Jan 19, 1986"
353,Australia,India,Australia,100 runs,Sydney,"Jan 21, 1986"
354,India,New Zealand,New Zealand,5 wickets,Melbourne,"Jan 23, 1986"
355,India,New Zealand,India,5 wickets,Adelaide,"Jan 25, 1986"
356,Australia,India,Australia,36 runs,Adelaide,"Jan 26, 1986"
357,Australia,New Zealand,New Zealand,206 runs,Adelaide,"Jan 27, 1986"
358,Australia,New Zealand,Australia,99 runs,Sydney,"Jan 29, 1986"
359,Australia,India,India,6 wickets,Melbourne,"Jan 31, 1986"
360,India,New Zealand,India,22 runs,Launceston,"Feb 2, 1986"
361,Australia,India,Australia,11 runs,Sydney,"Feb 5, 1986"
362,Australia,India,Australia,7 wickets,Melbourne,"Feb 9, 1986"
363,West Indies,England,West Indies,6 wickets,Kingston,"Feb 18, 1986"
