,Team_1,Team_2,Winner,Margin,Ground,Match Date
4104,Afghanistan,Ireland,Ireland,4 wickets,Dehradun,"Mar 5, 2019"
4105,India,Australia,India,8 runs,Nagpur,"Mar 5, 2019"
4106,South Africa,Sri Lanka,South Africa,113 runs,Centurion,"Mar 6, 2019"
4107,Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,"Mar 8, 2019"
4108,India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019"
4109,Afghanistan,Ireland,Ireland,5 wickets,Dehradun,"Mar 10, 2019"
4110,India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019"
4111,South Africa,Sri Lanka,South Africa,71 runs,Durban,"Mar 10, 2019"
4112,India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019"
4113,South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha,"Mar 13, 2019"
4114,South Africa,Sri Lanka,South Africa,41 runs,Cape Town,"Mar 16, 2019"
4115,Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 22, 2019"
4116,Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 24, 2019"
4117,Australia,Pakistan,Australia,80 runs,Abu Dhabi,"Mar 27, 2019"
4118,Australia,Pakistan,Australia,6 runs,Dubai (DSC),"Mar 29, 2019"
4119,Australia,Pakistan,Australia,20 runs,Dubai (DSC),"Mar 31, 2019"
4120,Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,"Apr 10, 2019"
4121,Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,"Apr 12, 2019"
4122,Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,"Apr 14, 2019"
4123,Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,"Apr 16, 2019"
4124,Namibia,Oman,Namibia,145 runs,Windhoek,"Apr 27, 2019"
4125,P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,"Apr 27, 2019"
4126,Ireland,England,England,4 wickets,Dublin (Malahide),"May 3, 2019"
4127,Ireland,West Indies,West Indies,196 runs,Dublin,"May 5, 2019"
4128,Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,"May 7, 2019"
4129,England,Pakistan,no result,-,The Oval,"May 8, 2019"
4130,Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,"May 10, 2019"
4131,Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),"May 11, 2019"
4132,England,Pakistan,England,12 runs,Southampton,"May 11, 2019"
4133,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 13, 2019"
4134,England,Pakistan,England,6 wickets,Bristol,"May 14, 2019"
4135,Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,"May 15, 2019"
4136,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 17, 2019"
4137,England,Pakistan,England,3 wickets,Nottingham,"May 17, 2019"
4138,Ireland,Afghanistan,Ireland,72 runs,Belfast,"May 19, 2019"
4139,England,Pakistan,England,54 runs,Leeds,"May 19, 2019"
4140,Ireland,Afghanistan,Afghanistan,126 runs,Belfast,"May 21, 2019"
4141,Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,"May 21, 2019"
4142,England,South Africa,England,104 runs,The Oval,"May 30, 2019"
4143,Pakistan,West Indies,West Indies,7 wickets,Nottingham,"May 31, 2019"
4144,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,"Jun 1, 2019"
4145,Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019"
4146,Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019"
4147,England,Pakistan,Pakistan,14 runs,Nottingham,"Jun 3, 2019"
4148,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,"Jun 4, 2019"
4149,India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019"
4150,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019"
4151,Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019"
4152,England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019"
4153,Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,"Jun 8, 2019"
4154,Australia,India,India,36 runs,The Oval,"Jun 9, 2019"
4155,South Africa,West Indies,no result,-,Southampton,"Jun 10, 2019"
4156,Australia,Pakistan,Australia,41 runs,Taunton,"Jun 12, 2019"
4157,England,West Indies,England,8 wickets,Southampton,"Jun 14, 2019"
4158,Australia,Sri Lanka,Australia,87 runs,The Oval,"Jun 15, 2019"
4159,Afghanistan,South Africa,South Africa,9 wickets,Cardiff,"Jun 15, 2019"
4160,India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019"
4161,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,"Jun 17, 2019"
4162,England,Afghanistan,England,150 runs,Manchester,"Jun 18, 2019"
4163,Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer,"Jun 19, 2019"
4164,New Zealand,South Africa,New Zealand,4 wickets,Birmingham,"Jun 19, 2019"
4165,Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019"
4166,Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer,"Jun 21, 2019"
4167,England,Sri Lanka,Sri Lanka,20 runs,Leeds,"Jun 21, 2019"
4168,Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019"
4169,New Zealand,West Indies,New Zealand,5 runs,Manchester,"Jun 22, 2019"
4170,Pakistan,South Africa,Pakistan,49 runs,Lord's,"Jun 23, 2019"
4171,Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,"Jun 24, 2019"
4172,England,Australia,Australia,64 runs,Lord's,"Jun 25, 2019"
4173,New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,"Jun 26, 2019"
4174,India,West Indies,India,125 runs,Manchester,"Jun 27, 2019"
4175,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,"Jun 28, 2019"
4176,Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,"Jun 29, 2019"
4177,Australia,New Zealand,Australia,86 runs,Lord's,"Jun 29, 2019"
4178,England,India,England,31 runs,Birmingham,"Jun 30, 2019"
4179,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,"Jul 1, 2019"
4180,Ireland,Zimbabwe,Ireland,4 wickets,Bready,"Jul 1, 2019"
